Player;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;G+A-PK;clubs;DomesticTitles;EuropeanTitles;NationalTeamWin;TeamTitles;GoalsPer90;xGPer90;xAPer90;xGContribution;FairPlayScore
Federico Valverde;uy URU;MF,DF;26;35.0;33;2942.0;32.7;6.0;4.0;10.0;6.0;0.0;0.0;4.0;0.0;2.6;2.6;3.1;5.7;65.0;221.0;74.0;0.31;Real Madrid;1.0;1.0;0.0;2.0;0.18354860639021073;0.07953772943575799;0.09483344663494221;0.1743711760707002;6.0
Kylian Mbappé;fr FRA;FW;26;33.0;33;2817.0;31.3;29.0;3.0;32.0;22.0;7.0;8.0;3.0;1.0;23.8;17.4;7.5;24.9;150.0;134.0;370.0;0.8;Real Madrid;1.0;1.0;0.0;2.0;0.926517571884984;0.7603833865814696;0.23961661341853036;1.0;4.0
Thibaut Courtois;be BEL;GK;33;30.0;30;2700.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;0.0;0.0;0.0033333333333333335;0.0033333333333333335;9.0
Aurélien Tchouaméni;fr FRA;DF,MF;25;31.0;30;2634.0;29.3;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.6;1.6;0.6;2.1;19.0;152.0;13.0;0.0;Real Madrid;1.0;1.0;0.0;2.0;0.0;0.054669703872437365;0.02050113895216401;0.07517084282460137;5.0
Jude Bellingham;eng ENG;MF;21;31.0;29;2488.0;27.6;9.0;8.0;17.0;8.0;1.0;2.0;5.0;1.0;11.4;9.9;3.9;13.7;74.0;199.0;143.0;0.58;Real Madrid;1.0;1.0;0.0;2.0;0.3255627009646302;0.41237942122186494;0.1410771704180064;0.5534565916398714;2.0
Antonio Rüdiger;de GER;DF;32;29.0;26;2291.0;25.5;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.7;1.7;0.5;2.3;20.0;94.0;4.0;0.0;Real Madrid;0.0;1.0;0.0;1.0;0.0;0.06678306416412047;0.01964207769532955;0.08642514185945002;7.0
Vinicius Júnior;br BRA;FW;24;29.0;24;2217.0;24.6;11.0;7.0;18.0;9.0;2.0;3.0;8.0;1.0;10.2;8.0;7.9;15.9;167.0;82.0;252.0;0.65;Real Madrid;0.0;1.0;0.0;1.0;0.4465493910690122;0.4140730717185385;0.32070365358592695;0.7347767253044656;0.0
Lucas Vázquez;es ESP;DF;33;31.0;24;2113.0;23.5;1.0;5.0;6.0;1.0;0.0;0.0;4.0;0.0;1.4;1.4;4.7;6.1;36.0;98.0;185.0;0.26;Real Madrid;0.0;0.0;0.0;0.0;0.04259346900141978;0.05963085660198769;0.20018930430667298;0.25982016090866067;6.0
Fran Garcia;es ESP;DF;25;30.0;23;2081.0;23.1;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;1.8;2.6;75.0;116.0;165.0;0.09;Real Madrid;0.0;0.0;0.0;0.0;0.0;0.03459875060067275;0.07784718885151369;0.11244593945218645;10.0
Rodrygo;br BRA;FW,MF;24;30.0;22;1928.0;21.4;6.0;5.0;11.0;6.0;0.0;0.0;0.0;0.0;4.0;3.9;3.0;6.9;113.0;108.0;253.0;0.51;Real Madrid;1.0;1.0;0.0;2.0;0.2800829875518672;0.18672199170124482;0.1400414937759336;0.32676348547717843;10.0
Raúl Asencio;es ESP;DF;22;22.0;17;1580.0;17.6;0.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;0.1;0.1;0.5;0.6;5.0;25.0;4.0;0.06;Real Madrid;0.0;0.0;0.0;0.0;0.0;0.00569620253164557;0.028481012658227847;0.03417721518987341;7.0
Luka Modrić;hr CRO;MF;39;34.0;16;1741.0;19.3;2.0;6.0;8.0;2.0;0.0;0.0;7.0;0.0;1.6;1.6;6.9;8.4;58.0;192.0;58.0;0.41;Real Madrid;0.0;1.0;0.0;1.0;0.10338885697874785;0.08271108558299828;0.35669155657668006;0.43940264215967834;3.0
Brahim Díaz;ma MAR;FW,MF;25;30.0;15;1331.0;14.8;4.0;2.0;6.0;4.0;0.0;0.0;0.0;0.0;5.3;5.3;2.9;8.1;39.0;70.0;102.0;0.41;Real Madrid;0.0;0.0;0.0;0.0;0.270473328324568;0.35837716003005254;0.19609316303531177;0.5544703230653643;10.0
Dani Ceballos;es ESP;MF;28;22.0;14;1125.0;12.5;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.4;0.4;1.6;2.0;40.0;137.0;16.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;0.0;0.032;0.128;0.16;6.0
Arda Güler;tr TUR;MF,FW;20;27.0;13;1160.0;12.9;3.0;4.0;7.0;3.0;0.0;0.0;1.0;0.0;3.3;3.3;3.8;7.0;33.0;85.0;81.0;0.54;Real Madrid;0.0;0.0;0.0;0.0;0.23275862068965517;0.2560344827586207;0.29482758620689653;0.5508620689655171;9.0
Ferland Mendy;fr FRA;DF;29;14.0;12;1005.0;11.2;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.5;0.5;12.0;36.0;40.0;0.09;Real Madrid;0.0;0.0;0.0;0.0;0.0;0.0;0.04477611940298508;0.04477611940298508;6.0
Eduardo Camavinga;fr FRA;MF,DF;22;19.0;11;1102.0;12.2;1.0;2.0;3.0;1.0;0.0;0.0;2.0;0.0;0.4;0.4;0.8;1.2;26.0;61.0;31.0;0.25;Real Madrid;1.0;1.0;0.0;2.0;0.08166969147005446;0.03266787658802178;0.06533575317604357;0.09800362976406536;8.0
