Player;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;G+A-PK;clubs;GoalsPer90;xGPer90;xAPer90;xGContribution;FairPlayScore;Nb_IndividualTitles;IndividualTitlesDetail;TeamTitles_Team;TeamTitlesDetail;ImpactScore;RecordsScore;PopularityScore;Finalist_UCL;BookmakersScore
Federico Valverde;uy URU;MF,DF;26;35.0;33;2942.0;32.7;6.0;4.0;10.0;6.0;0.0;0.0;4.0;0.0;2.6;2.6;3.1;5.7;65.0;221.0;74.0;0.31;Real Madrid;0.1835486063902107;0.0795377294357579;0.0948334466349422;0.1743711760707002;6.0;0;Aucun;1.0;Supercoupe UEFA;;;;;
Kylian Mbappé;fr FRA;FW;26;33.0;33;2817.0;31.3;29.0;3.0;32.0;22.0;7.0;8.0;3.0;1.0;23.8;17.4;7.5;24.9;150.0;134.0;370.0;0.8;Real Madrid;0.926517571884984;0.7603833865814696;0.2396166134185303;1.0;4.0;0;Aucun;;;9.5;6.0;10.0;0.0;2.5
Thibaut Courtois;be BEL;GK;33;30.0;30;2700.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0033333333333333;0.0033333333333333;9.0;0;Aucun;;;;;;;
Aurélien Tchouaméni;fr FRA;DF,MF;25;31.0;30;2634.0;29.3;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.6;1.6;0.6;2.1;19.0;152.0;13.0;0.0;Real Madrid;0.0;0.0546697038724373;0.020501138952164;0.0751708428246013;5.0;0;Aucun;;;;;;;
Jude Bellingham;eng ENG;MF;21;31.0;29;2488.0;27.6;9.0;8.0;17.0;8.0;1.0;2.0;5.0;1.0;11.4;9.9;3.9;13.7;74.0;199.0;143.0;0.58;Real Madrid;0.3255627009646302;0.4123794212218649;0.1410771704180064;0.5534565916398714;2.0;0;Aucun;1.0;Supercoupe UEFA;9.2;8.0;9.5;0.0;2.7
Antonio Rüdiger;de GER;DF;32;29.0;26;2291.0;25.5;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.7;1.7;0.5;2.3;20.0;94.0;4.0;0.0;Real Madrid;0.0;0.0667830641641204;0.0196420776953295;0.08642514185945;7.0;0;Aucun;;;;;;;
Vinicius Júnior;br BRA;FW;24;29.0;24;2217.0;24.6;11.0;7.0;18.0;9.0;2.0;3.0;8.0;1.0;10.2;8.0;7.9;15.9;167.0;82.0;252.0;0.65;Real Madrid;0.4465493910690122;0.4140730717185385;0.3207036535859269;0.7347767253044656;0.0;0;Aucun;;;9.0;7.0;9.3;0.0;3.2
Lucas Vázquez;es ESP;DF;33;31.0;24;2113.0;23.5;1.0;5.0;6.0;1.0;0.0;0.0;4.0;0.0;1.4;1.4;4.7;6.1;36.0;98.0;185.0;0.26;Real Madrid;0.0425934690014197;0.0596308566019876;0.2001893043066729;0.2598201609086606;6.0;0;Aucun;;;;;;;
Fran Garcia;es ESP;DF;25;30.0;23;2081.0;23.1;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;1.8;2.6;75.0;116.0;165.0;0.09;Real Madrid;0.0;0.0345987506006727;0.0778471888515136;0.1124459394521864;10.0;0;Aucun;;;;;;;
Rodrygo;br BRA;FW,MF;24;30.0;22;1928.0;21.4;6.0;5.0;11.0;6.0;0.0;0.0;0.0;0.0;4.0;3.9;3.0;6.9;113.0;108.0;253.0;0.51;Real Madrid;0.2800829875518672;0.1867219917012448;0.1400414937759336;0.3267634854771784;10.0;0;Aucun;1.0;Supercoupe UEFA;8.7;6.0;8.2;0.0;3.8
Raúl Asencio;es ESP;DF;22;22.0;17;1580.0;17.6;0.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;0.1;0.1;0.5;0.6;5.0;25.0;4.0;0.06;Real Madrid;0.0;0.0056962025316455;0.0284810126582278;0.0341772151898734;7.0;0;Aucun;;;;;;;
