Player;Nb_IndividualTitles;IndividualTitlesDetail
Lamine Yamal;1;Laureus Breakthrough of the Year 2025
Pedri;2;Joueur du mois LaLiga Avril 2025,LA LIGA player of the season 2025 by THE ATHLETIC
Vinícius Júnior;0;
Jude Bellingham;0;
Kylian Mbappé;0;
Robert Lewandowski;0;
Toni Kroos;0;
Dani Carvajal;0;
Federico Valverde;0;
Eduardo Camavinga;0;
Rodrygo;0;
Antonio Rüdiger;0;
Andriy Lunin;0;
Alejandro Balde;0;
Raphinha;1;Best European player of the year 2025 by THE�ATHLETIC
Erling Haaland;0;
Phil Foden;0;
Rodri;0;
Florian Wirtz;0;
Harry Kane;0;
João Cancelo;0;
Achraf Hakimi;0;
Lionel Messi;0;
Nacho;0;
Joselu;0;
Aurélien Tchouaméni;0;
Fran García;0;
Gavi;0;
